"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\evgen\VScode\Work\gravitynode\src\app\globals.css", "PostCSS", 0, 0, 66, 0, 56, 122
"c:\Users\evgen\VScode\Work\gravitynode\src\app\layout.tsx", "TypeScript JSX", 42, 0, 0, 0, 5, 47
"c:\Users\evgen\VScode\Work\gravitynode\src\app\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\ModeToggle.tsx", "TypeScript JSX", 36, 0, 0, 0, 5, 41
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\button.tsx", "TypeScript JSX", 52, 0, 0, 0, 6, 58
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\dropdown-menu.tsx", "TypeScript JSX", 183, 0, 0, 0, 19, 202
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\input.tsx", "TypeScript JSX", 19, 0, 0, 0, 4, 23
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\label.tsx", "TypeScript JSX", 21, 0, 0, 0, 6, 27
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\sheet.tsx", "TypeScript JSX", 121, 0, 0, 4, 16, 141
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\theme-provider.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Blog\Blog.tsx", "TypeScript JSX", 25, 0, 0, 0, 2, 27
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Footer\Footer.tsx", "TypeScript JSX", 8, 0, 0, 0, 2, 10
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\app-header.tsx", "TypeScript JSX", 14, 0, 0, 0, 2, 16
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\auth.tsx", "TypeScript JSX", 16, 0, 0, 0, 1, 17
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\layout.tsx", "TypeScript JSX", 48, 0, 0, 3, 3, 54
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\logo-head.tsx", "TypeScript JSX", 18, 0, 0, 0, 3, 21
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\nav.tsx", "TypeScript JSX", 102, 0, 0, 0, 2, 104
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Hero\Hero.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"Total", "-", 736, 5, 66, 7, 141, 955
